Prix,Stock,Fabricant,Modèle,Série,Catégorie
419 €,En stock,Steinberger,Spirit XT-25,Spirit,Basses électriques 5 cordes et plus
439 €,En stock,Sterling by Music Man,StingRay Ray5,StingRay,Basses électriques 5 cordes et plus
1 555 €,En stock,Music Man,StingRay 5,StingRay,Basses électriques 5 cordes et plus
931 €,En stock,Yamaha,BB735A,700,Basses électriques 5 cordes et plus
777 €,En stock,Music Man,Classic StingRay 5,StingRay,Basses électriques 5 cordes et plus
1 499 €,En stock,Sterling by Music Man,StingRay Ray35,StingRay,Basses électriques 5 cordes et plus
5 599 €,En stock,Warwick,Corvette $$ 5,Corvette,Basses électriques 5 cordes et plus
"1 138,50 €",En stock,Ibanez,EHB1005SMS,EHB,Basses électriques 5 cordes et plus
399 €,En stock,Squier,Classic Vibe ‘70s Jazz Bass V,Jazz Bass,Basses électriques 5 cordes et plus
729 €,En stock,Cort,A5 Plus FMMH,Artisan,Basses électriques 5 cordes et plus
1 679 €,En stock,Sandberg (Bass),California TM 5,California T,Basses électriques 5 cordes et plus
429 €,En stock,Yamaha,TRBX305,TRBX,Basses électriques 5 cordes et plus
831 €,En stock,Fender,Player Jazz Bass V,Player Jazz Bass Series,Basses électriques 5 cordes et plus
1 699 €,Pas de stock,Yamaha,BBP35,Pro,Basses électriques 5 cordes et plus
1 459 €,En stock,Ibanez,SRAS7,SR Workshop,Basses électriques 5 cordes et plus
694 €,Pas de stock,Ibanez,SRC6,SR Workshop,Basses électriques 5 cordes et plus
"1 814,10 €",En stock,Sandberg (Bass),Basic Ken Taylor 5,Basic Ken Taylor,Basses électriques 5 cordes et plus
799 €,En stock,Ibanez,SR505,SR Standard,Basses électriques 5 cordes et plus
1 249 €,En stock,Ibanez,BTB846V,BTB Workshop,Basses électriques 5 cordes et plus
444 €,Pas de stock,Squier,Classic Vibe Bass VI,Basses électriques 5 cordes et plus,27/01/2019
